RunDesignationLookUpID,RunDesignation,LookupDate,MinLength1,MaxLength1,MinLength2,MaxLength2,s_ColLineage,s_Generation,s_Lineage
{F5EAE84B-6FA4-11D3-9889-00C04FF8FAEB},F,03/25,0,71,0,0,,1,
{F5EAE84C-6FA4-11D3-9889-00C04FF8FAEB},F,03/26,0,71,0,0,,1,
{F5EAE84D-6FA4-11D3-9889-00C04FF8FAEB},F,03/27,0,72,0,0,,1,
{F5EAE84E-6FA4-11D3-9889-00C04FF8FAEB},F,03/28,0,72,0,0,,1,
{F5EAE84F-6FA4-11D3-9889-00C04FF8FAEB},F,03/29,0,72,0,0,,1,
{F5EAE850-6FA4-11D3-9889-00C04FF8FAEB},F,03/30,0,73,0,0,,1,
{F5EAE851-6FA4-11D3-9889-00C04FF8FAEB},F,03/31,0,73,0,0,,1,
{F5EAE852-6FA4-11D3-9889-00C04FF8FAEB},F,04/01,34,74,0,0,,1,
{F5EAE853-6FA4-11D3-9889-00C04FF8FAEB},F,04/02,35,74,0,0,,1,
{F5EAE854-6FA4-11D3-9889-00C04FF8FAEB},F,04/03,35,75,0,0,,1,
{F5EAE855-6FA4-11D3-9889-00C04FF8FAEB},F,04/04,35,75,0,0,,1,
{F5EAE856-6FA4-11D3-9889-00C04FF8FAEB},F,04/05,35,76,0,0,,1,
{F5EAE857-6FA4-11D3-9889-00C04FF8FAEB},F,04/06,35,76,0,0,,1,
{F5EAE858-6FA4-11D3-9889-00C04FF8FAEB},F,04/07,36,77,0,0,,1,
{F5EAE859-6FA4-11D3-9889-00C04FF8FAEB},F,04/08,36,77,0,0,,1,
{F5EAE85A-6FA4-11D3-9889-00C04FF8FAEB},F,04/09,36,78,0,0,,1,
{F5EAE85B-6FA4-11D3-9889-00C04FF8FAEB},F,04/10,36,78,0,0,,1,
{F5EAE85C-6FA4-11D3-9889-00C04FF8FAEB},F,04/11,37,79,0,0,,1,
{F5EAE85D-6FA4-11D3-9889-00C04FF8FAEB},F,04/12,37,79,0,0,,1,
{F5EAE85E-6FA4-11D3-9889-00C04FF8FAEB},F,04/13,37,80,0,0,,1,
{F5EAE85F-6FA4-11D3-9889-00C04FF8FAEB},F,04/14,37,80,0,0,,1,
{F5EAE860-6FA4-11D3-9889-00C04FF8FAEB},F,04/15,38,81,0,0,,1,
{F5EAE861-6FA4-11D3-9889-00C04FF8FAEB},F,04/16,38,82,0,0,,1,
{F5EAE862-6FA4-11D3-9889-00C04FF8FAEB},F,04/17,38,82,0,0,,1,
{F5EAE863-6FA4-11D3-9889-00C04FF8FAEB},F,04/18,38,83,0,0,,1,
{F5EAE864-6FA4-11D3-9889-00C04FF8FAEB},F,04/19,39,83,0,0,,1,
{F5EAE865-6FA4-11D3-9889-00C04FF8FAEB},F,04/20,39,84,0,0,,1,
{F5EAE866-6FA4-11D3-9889-00C04FF8FAEB},F,04/21,39,84,0,0,,1,
{F5EAE867-6FA4-11D3-9889-00C04FF8FAEB},F,04/22,39,85,0,0,,1,
{F5EAE868-6FA4-11D3-9889-00C04FF8FAEB},F,04/23,40,85,0,0,,1,
{F5EAE869-6FA4-11D3-9889-00C04FF8FAEB},F,04/24,40,86,0,0,,1,
{F5EAE86A-6FA4-11D3-9889-00C04FF8FAEB},F,04/25,40,87,0,0,,1,
{F5EAE86B-6FA4-11D3-9889-00C04FF8FAEB},F,04/26,40,87,0,0,,1,
{F5EAE86C-6FA4-11D3-9889-00C04FF8FAEB},F,04/27,41,88,0,0,,1,
{F5EAE86D-6FA4-11D3-9889-00C04FF8FAEB},F,04/28,41,88,0,0,,1,
{F5EAE86E-6FA4-11D3-9889-00C04FF8FAEB},F,04/29,41,89,0,0,,1,
{F5EAE86F-6FA4-11D3-9889-00C04FF8FAEB},F,04/30,41,89,0,0,,1,
{F5EAE870-6FA4-11D3-9889-00C04FF8FAEB},F,05/01,41,90,0,0,,1,
{F5EAE871-6FA4-11D3-9889-00C04FF8FAEB},F,05/02,42,91,0,0,,1,
{F5EAE872-6FA4-11D3-9889-00C04FF8FAEB},F,05/03,42,91,0,0,,1,
{F5EAE873-6FA4-11D3-9889-00C04FF8FAEB},F,05/04,42,92,0,0,,1,
{F5EAE874-6FA4-11D3-9889-00C04FF8FAEB},F,05/05,42,92,0,0,,1,
{F5EAE875-6FA4-11D3-9889-00C04FF8FAEB},F,05/06,43,93,0,0,,1,
{F5EAE876-6FA4-11D3-9889-00C04FF8FAEB},F,05/07,43,94,0,0,,1,
{F5EAE877-6FA4-11D3-9889-00C04FF8FAEB},F,05/08,43,94,0,0,,1,
{F5EAE878-6FA4-11D3-9889-00C04FF8FAEB},F,05/09,44,95,0,0,,1,
{F5EAE879-6FA4-11D3-9889-00C04FF8FAEB},F,05/10,44,95,0,0,,1,
{F5EAE87A-6FA4-11D3-9889-00C04FF8FAEB},F,05/11,44,96,0,0,,1,
{F5EAE87B-6FA4-11D3-9889-00C04FF8FAEB},F,05/12,45,97,0,0,,1,
{F5EAE87C-6FA4-11D3-9889-00C04FF8FAEB},F,05/13,45,97,0,0,,1,
{F5EAE87D-6FA4-11D3-9889-00C04FF8FAEB},F,05/14,45,98,0,0,,1,
{F5EAE87E-6FA4-11D3-9889-00C04FF8FAEB},F,05/15,45,99,0,0,,1,
{F5EAE87F-6FA4-11D3-9889-00C04FF8FAEB},F,05/16,46,99,0,0,,1,
{F5EAE880-6FA4-11D3-9889-00C04FF8FAEB},F,05/17,46,100,0,0,,1,
{F5EAE881-6FA4-11D3-9889-00C04FF8FAEB},F,05/18,46,101,0,0,,1,
{F5EAE882-6FA4-11D3-9889-00C04FF8FAEB},F,05/19,47,101,0,0,,1,
{F5EAE883-6FA4-11D3-9889-00C04FF8FAEB},F,05/20,47,102,0,0,,1,
{F5EAE884-6FA4-11D3-9889-00C04FF8FAEB},F,05/21,47,103,0,0,,1,
{F5EAE885-6FA4-11D3-9889-00C04FF8FAEB},F,05/22,47,103,0,0,,1,
{F5EAE886-6FA4-11D3-9889-00C04FF8FAEB},F,05/23,48,104,0,0,,1,
{F5EAE887-6FA4-11D3-9889-00C04FF8FAEB},F,05/24,48,105,0,0,,1,
{F5EAE888-6FA4-11D3-9889-00C04FF8FAEB},F,05/25,48,105,0,0,,1,
{F5EAE889-6FA4-11D3-9889-00C04FF8FAEB},F,05/26,49,106,0,0,,1,
